smiles,minimizedAffinity
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3C(C)C)ccc1O,-7.60863781
[CH2].[CH3].[C]CNC(=O)c1ccc(-c2cccc(-c3nnc(C)o3)c2)cc1,-9.75305653
[CH2]O.[CH2]Oc1[c]ccc(-c2[nH]c(-c3cc[c]cc3)nc2-c2ccccn2)c1.[O],-8.61042786
[CH2].[CH2].[CH2].[CH2].[CH3].[CH].[N].[N]=C[N]/C(=[C]/c1ccnc(Nc2ccccc2)n1)c1ccc(F)cc1,-7.9417696
[CH2].[CH2].[CH2].[CH2]C.[CH2]Oc1[c]c([N]C(=[N])c2nonc2N)c(C#CC(C)(C)O)nc1.[CH2][NH].[CH],-9.04815578
Cc1ccc(Nc2ccnc(Nc3cccc(C(N)=O)c3)n2)cc1O,-8.64856339
CNC(=O)Oc1cc(C)c(/C=C/c2cncc(C(=O)NC)c2)c(C)c1,-8.72709656
C=NCCOc1ccc(C(=O)Nc2cccc(Oc3c[c]c([N][C]c4nonc4N)cn3)c2)cc1.[CH2].[CH2].[CH2].[CH2]C.[N].[O],-10.4393721
COc1c[c]ccc1NC1=N[C](Nc2cccc(F)c2C(=O)O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2][N].[CH2][N]C(C)C,-8.8173666
[CH2].[CH2].[CH2][N]C.[CH2][N]C(=O)c1ccc(NC(=O)Nc2ccc(N(C)c3ccnc(Nc4ccc(C[S@SP](C)(=O)=O)cc4)n3)cc2)cc1,-8.94348431
NCC#Cc1ncc(OCCCN)[c]c1[N][C]c1nonc1N.[CH2]C.[N],-9.70449352
Nc1nccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,-10.2686195
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3Cc2ccccc2)ccc1O,-9.14701271
NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,-8.63791752
Cc1ccc2c(-c3ccnc(Nc4ccccc4)n3)c(-c3ccc(F)cc3)nn2n1,-8.71541023
COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,-7.36346579
[CH2].[CH2].[CH2].[CH2][N].[CH3].[CH].[CH][N]/C(=[C]/C1=C[CH]N=C(N)[N]1)c1ccc(F)cc1.[N],-8.09039116
N[S@SP](=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1,-8.48754501
COc1cc[c]cc1Nc1ncc(-c2cccc(-c3ccccc3F)c2)o1.[CH2]C.[O].[O].[S],-9.59816837
[CH2].[CH2].[CH2].[CH2]/[C]=C(\[C][N])C(=S)NC(=O)c1ccc(F)cc1.[C],-7.14619589
[CH2]c1ccccc1.[c]1nc2ccc(N[C]3N=C[N]c4ccccc43)cc2[nH]1,-9.77954483
CCc1ccc[c]c1/C=C/c1cncc(C(=O)NC)c1.[CH2]C,-8.58659363
[CH2]C.[N]=C([N]c1[c]cncc1)c1nonc1N,-7.12799835
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,-7.90677357
CNC(=O)c1cncc(/C=C/c2ccccc2C)c1,-7.92847776
Oc1cccc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)c1,-7.77868843
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cc[c]o5)cc34)cc2Cl)c1.[CH2].[CH2][O].[CH2][S@SP](=O)(=O)c1ccccc1,-12.3199844
[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH]Oc1[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)nc1.[NH].[N],-8.82265568
[CH2].[CH2].[CH2].[CH2][N]CCCNc1ncc2c(C)nc(-c3ccccc3)n2n1.[O],-9.74125481
COC(=O)c1cncc(/C=C/c2c(C)cc(O)cc2C)c1,-8.23766804
[CH2].[CH3].[C].[O][C]Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12,-9.48986626
Nc1nonc1C1=Nc2cnccc2[N]1.[CH2].[CH3].[C],-7.08776379
COc1cc[c]cc1Nc1nccc(N(C)c2ccc3c(C)n[nH]c3c2)n1.O=S.[CH2]C.[O],-8.54207802
CN(c1ccc(NC(=O)Nc2c(Cl)cccc2Cl)cc1)c1ccnc(Nc2cccc(C[S@SP](C)(=O)=O)c2)n1,-9.4342804
Cc1ccc([C]2C=C3C(N[C][O])=N[CH]N=C3O2)cc1.[CH2].[CH3].[C],-8.63793755
COc1ccc([S@SP]([N])(=O)=O)cc1Nc1ncc(-c2ccccc2)o1.[CH2]C.[CH2]C,-8.0647316
COc1cc2ncnc(Nc3ccc(C)c(O)c3)c2cc1OC,-7.43053865
COc1ccc([S@SP]([O])=O)cc1Nc1ncc(-c2cccc(F)c2)o1.[CH2]C,-8.25478172
COc1cccc(-n2nc(C)c3c2[N]C=N[C]3N/N=C(\C)c2ccncc2)c1,-9.24212742
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(-c4cnco4)cc32)cc1,-8.84170151
COc1cc2ncn(-c3cc(OCc4cccs4)c(C(N)=O)s3)c2cc1OC,-8.38492012
[CH2].[CH2]n1[c]nc(-c2ccncc2)c1-c1ccc(F)cc1.[S],-7.58755398
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC,-9.30606461
COc1cc(Nc2nccc(-c3cnn4n[c]ccc34)n2)cc(C(F)(F)F)c1.[CH2]C.[O],-9.53544807
[CH2].[CH2].[CH2].[CH2]C.[CH2][C]c1ccc(NC2=N[C](Nc3ccccc3C(N)=O)c3cc[nH]c3[N]2)c(C)c1.[CH].[N],-10.2877588
N[S@SP](=O)(=O)c1ccc(-c2cc3ccncc3cc2OCc2ccccc2)cc1,-8.82998657
[CH2].[CH2].[CH2].[CH2][N]C.[CH].[O][C]Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12,-9.24193764
Nc1nonc1-c1nc2cnccc2n1-c1cc[c]cc1.[CH2]N,-7.90123653
COc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc(F)c(F)c3)n2)cc1,-8.60814095
FC(F)(F)c1[c]ccc(Nc2nccc(-c3cnn4ncccc34)n2)c1.[CH2].[CH2].[CH2].[CH2][N].[CH3].[N],-9.34066296
[CH2][CH]c1ccc2ccccc2c1.[C].[C].[H]/N=[C]\C.[O].[O][C]Nc1ccc2[nH]ncc2c1,-11.0242004
C=NC.C[CH]c1ccccc1C(F)(F)F.[CH2].[CH2].[CH2].[CH]COc1ccc2ncn(-c3c[c]c(C(N)=O)s3)c2c1.[O],-11.2115154
N[S@SP](=O)(=O)c1cccc(Nc2cc(-c3ccc(F)cc3)n[nH]2)c1,-8.42388153
Clc1cc(Nc2ncnc3ccc(-c4cc[c]o4)cc23)ccc1OCc1ccccc1.[CH2].[CH2].[CH2]N=C.[CH2][S]=O,-11.2419109
FC(F)(F)c1cc(Nc2ncnc3ccc(-c4cc[c]o4)cc23)ccc1OCc1ccccc1.[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O,-11.0668421
[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[N].[O][C]Nc1n[nH]c2nnc(-c3cccc(F)c3F)cc12,-9.7919035
O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,-8.38776588
N[S@SP](=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,-8.48264885
COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC,-7.43587828
COC(=O)Nc1nc2ccc(Sc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,-9.20761776
C#Cc1cccc(N[C]2N=C[N]c3ccc(OCCCCNCC[S@SP](C)(=O)=O)cc32)c1,-10.1145573
NC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccncc2)c1N,-8.41146088
Nc1nccc(-c2c(-c3ccc(F)cc3)nn3cc(C(F)(F)F)ccc23)n1,-8.28582954
COC(=O)Nc1nc2cc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c3)ccc2[nH]1,-9.83971119
CN(C)c1ccc(C(=O)Nc2cccc(OC3=N[CH]C([N][C]c4nonc4N)=[C][CH]3)c2)cc1.[CH2]C.[N],-9.32835865
[CH2].[CH2].[CH2].[CH2].[N]CCOc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1.[O],-10.6506348
