smiles,minimizedAffinity
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3C(C)C)ccc1O,-7.03402138
[CH2].[CH3].[C]CNC(=O)c1ccc(-c2cccc(-c3nnc(C)o3)c2)cc1,-10.1121893
[CH2]O.[CH2]Oc1cc(-c2[nH]c(-c3cc[c]cc3)nc2-c2ccccn2)ccc1[O],0.228589505
[CH2].[CH2].[CH2].[CH2].[CH3].[CH].[N].[N]=C[N]/C(=[C]/c1ccnc(Nc2ccccc2)n1)c1ccc(F)cc1,9.5610714
[CH2].[CH2].[CH2].[CH2]C.[CH]COc1[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)nc1.[H]N=C.[N],6.1282053
Cc1ccc(Nc2ccnc(Nc3cccc(C(N)=O)c3)n2)cc1O,-7.4629674
CNC(=O)Oc1cc(C)c(/C=C/c2cncc(C(=O)NC)c2)c(C)c1,-8.41322994
C=NCCOc1ccc(C(=O)Nc2cccc(Oc3c[c]c([N][C]c4nonc4N)cn3)c2)cc1.[CH2].[CH2].[CH2].[CH2]C.[N].[O],15.3783903
C=NC(C)C.COc1c[c]ccc1NC1=N[C](Nc2cccc(F)c2C(=O)O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2][N],6.93540049
CN(c1ccc(NC(=O)Nc2ccc([C][O])cc2)cc1)c1ccnc(Nc2ccc(C[S@SP](C)(=O)=O)cc2)n1.[CH2].[CH2].[CH2].[CH2][N]C.[N],51.7116432
NCC#Cc1ncc(OCCCN)[c]c1[N][C]c1nonc1N.[CH2]C.[N],-0.131867856
Nc1nccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,-7.01443624
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3Cc2ccccc2)ccc1O,-6.42339993
NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,-1.00639403
Cc1ccc2c(-c3ccnc(Nc4ccccc4)n3)c(-c3ccc(F)cc3)nn2n1,10.8067188
COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,-4.22490025
C=NC.[CH2].[CH2].[CH2].[CH].[CH][N]/C(=[C]/c1ccnc(N)n1)c1ccc(F)cc1.[N],2.06140447
N[S@SP](=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1,-8.4657793
COc1ccc([S]=O)cc1Nc1ncc(-c2cccc(-c3ccccc3F)c2)o1.[CH2]C.[O],-7.99935627
[CH2].[CH2].[CH2].[CH2]/[C]=C(\[C][N])C(=S)NC(=O)c1ccc(F)cc1.[C],-7.22787905
[CH2]c1ccccc1.[C].[N]c1ccc(N[C]2N=C[N]c3ccccc32)cc1[NH],-10.0493231
[CH2]C.[C].[H]/[C]=C/C=C(\[C]/C=C/c1cncc(C(=O)NC)c1)CC,-7.17653418
Nc1nonc1[C][N]c1[c]cncc1.[CH2]C.[N],-5.87795639
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1,-6.5900321
CNC(=O)c1cncc(/C=C/c2ccccc2C)c1,-9.17552567
Oc1cccc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)c1,-0.968248844
[CH2].[CH2].[CH2][S@SP](=O)(=O)c1ccccc1.[C]O/C(=C\[CH])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.[O],5.17985773
CC(C)(O)C#Cc1ncc([O])[c]c1[N][C]c1nonc1N.[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[NH].[N],6.88170576
[CH2].[CH2].[CH2].[CH2].[CH2]CCNc1ncc2c(C)nc(-c3ccccc3)n2n1.[N].[O],-9.42056751
