smiles,minimizedAffinity
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3C(C)C)ccc1O,-8.07989788
[CH2]O.[CH2]Oc1[c]ccc(-c2[nH]c(-c3cc[c]cc3)nc2-c2ccccn2)c1.[O],-9.26566887
C[N].[CH2].[CH2].[CH2].[CH2].[CH].[CH][N]/C(=C(\[N])c1ccnc(Nc2ccccc2)n1)c1ccc(F)cc1,-8.3081522
[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH2]Oc1[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)nc1.[CH].[NH].[N],-10.2933722
Cc1ccc(Nc2ccnc(Nc3cccc(C(N)=O)c3)n2)cc1O,-8.81425571
CNC(=O)Oc1cc(C)c(/C=C/c2cncc(C(=O)NC)c2)c(C)c1,-8.45714378
C=NCCOc1ccc(C(=O)Nc2cccc(Oc3c[c]c([N][C]c4nonc4N)cn3)c2)cc1.[CH2].[CH2].[CH2]C.[CH2][O].[N],-9.849823
COc1c[c]ccc1NC1=N[C](Nc2cccc(F)c2C(=O)O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2].[CH2][N]C(C)C.[N],-8.53041077
C=NC(=O)c1ccc(NC(=O)Nc2ccc(N(C)c3ccnc(Nc4ccc(C[S@SP](C)(=O)=O)cc4)n3)cc2)cc1.C[N].[CH2].[CH2].[CH2],22.9446316
NCC#Cc1ncc(OCCCN)[c]c1[N][C]c1nonc1N.[CH2]C.[N],-10.5507336
Nc1nccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,-9.25131035
COc1cc(/C=N/N[C]2N=C[N]c3c2cnn3Cc2ccccc2)ccc1O,-8.69130611
NC(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,-9.73066425
Cc1ccc2c(-c3ccnc(Nc4ccccc4)n3)c(-c3ccc(F)cc3)nn2n1,-9.56561089
COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,-8.28791046
